Date,Item,Category,Price
2024-07-15,"Acrylic Paint Set, 24 Colors","Arts & Crafts",19.99
2024-07-18,"Wireless Bluetooth Earbuds","Electronics",59.99
2024-07-22,"Sketchbook for Drawing and Painting, 9x12 inches","Arts & Crafts",12.99
2024-07-25,"Smart LED Light Strip, 16.4ft","Electronics",29.99
2024-07-30,"Handmade Beaded Bracelet, Turquoise","Jewelry",15.99
2024-08-02,"Digital Drawing Tablet with Pen","Electronics",89.99
2024-08-04,"Indian Spicy Mix, Haldiram's Bhujia Sev, 400g","Grocery",4.99
2024-08-08,"Noise-Cancelling Over-Ear Headphones","Electronics",79.99
2024-08-10,"Canvas Panels for Painting, 8x10 inches, Pack of 10","Arts & Crafts",14.99
2024-08-12,"Bracelet Making Kit, Includes Beads and Charms","Jewelry",22.99
2024-08-15,"Roomba Robot Vacuum, iRobot","Home & Kitchen",249.99
2024-08-18,"Natraj Mango Pickle, 500g","Grocery",5.99
2024-08-20,"Premium Paint Brushes Set, 12 Pieces","Arts & Crafts",18.99
2024-08-22,"Smartwatch with Fitness Tracker","Electronics",129.99
2024-08-24,"Acrylic Paint Pouring Medium, 16 oz","Arts & Crafts",9.99
2024-08-26,"Handheld Vacuum Cleaner, Cordless","Home & Kitchen",39.99
2024-08-28,"Indian Snack Variety Pack, 10 Assorted Snacks","Grocery",14.99
2024-08-30,"Wireless Charging Pad for Smartphones","Electronics",24.99
2024-09-01,"Microfiber Cleaning Cloths, Pack of 10","Home & Kitchen",8.99
2024-09-03,"Foldable Easel Stand for Painting, Adjustable","Arts & Crafts",39.99
