Title,Artist,Album,Mood,Genre,Rating
Congratulations,Post Malone,Stoney,Victorious,Hip-Hop,6
BAND4BAND,Central Cee,Wild West,Confident,UK Hip-Hop,4
Black Friday,Lost Frequencies,Less Is More,Chill,Deep House,7
HUMBLE.,Kendrick Lamar,DAMN.,Aggressive,Hip-Hop,5
Broke In A Minute,Tory Lanez,The New Toronto 3,Hard,Hip-Hop,6
2055,Sleepy Hallow,Still Sleep?,Reflective,Hip-Hop,4
Fantasy,Bazzi,Cosmic,Romantic,Pop,5
Hollywood's Bleeding,Post Malone,Hollywood's Bleeding,Dark,Hip-Hop,8
Not Like Us,Kendrick Lamar,Black Panther Soundtrack,Rebellious,Hip-Hop,7
NIGHTS LIKE THIS,The Kid LAROI,F*ck Love,Sad,Hip-Hop,9
Violent Crimes,Kanye West,ye,Reflective,Hip-Hop,7
White Iverson,Post Malone,Stoney,Chill,Hip-Hop,8
000000,A.CHAL,0000000,Moody,Alternative R&B,9
I Wonder,Kanye West,Graduation,Reflective,Hip-Hop,6
Renegade,Aaryan Shah,Renegade,Rebellious,Alternative,6
WTF Are We Talking For,Labrinth,Euphoria Season 2 Soundtrack,Dramatic,Electropop,7
No Love Lost,Blxst,No Love Lost,Emotional,R&B,5
Pink + White,Frank Ocean,Blonde,Melancholic,R&B,7
Teenage Fever,Drake,More Life,Reflective,Hip-Hop,7
'87 Stingray,Tory Lanez,Sorry 4 What,Hard,Hip-Hop,7
Spicy,Ty Dolla $ign feat. Post Malone,Featuring Ty Dolla $ign,Confident,Hip-Hop,7
Play Your Roll,Norman Perry,Unknown,Laid-back,Alternative R&B,6
North Face,ODIE,Analogue,Chill,Alternative R&B,5
Rich Spirit,Kendrick Lamar,Mr. Morale & The Big Steppers,Empowered,Hip-Hop,8
Lady Of Namek,Tory Lanez,Alone at Prom,Romantic,R&B,8
Do You Better,Rohan,Unknown,Romantic,Alternative,7
True Love,Kanye West & XXXTentacion,Donda 2,Melancholic,Hip-Hop,6
Little Lies,ODIE,Analogue,Chill,Alternative R&B,5
I Know,Post Malone,Hollywood's Bleeding,Reflective,Hip-Hop,7
No Role Modelz,J. Cole,2014 Forest Hills Drive,Inspirational,Hip-Hop,9
dec 11th,Givēon,When It's All Said and Done,Reflective,R&B,8
The Way Life Goes,Lil Uzi Vert feat. Oh Wonder,Luv Is Rage 2,Reflective,Hip-Hop,7
Fall Back,Lithe,Unknown,Rebellious,Hip-Hop,5
Gata Only,FloyyMenor,Unknown,Confident,Hip-Hop,8
Fall For You,Christian French,Independent Release,Romantic,Pop,8
She On It,Ezu feat. Karan Aujla,Unknown,Romantic,Pop,6
prayer1,april27,Unknown,Chill,Indie,7
Jashn-E-Bahaaraa,A.R. Rahman,Jodhaa Akbar,Emotional,Bollywood,6
Kho Gaye Hum Kahan,Jasleen Royal,Kapoor & Sons,Melancholic,Bollywood,8
Khalasi X StarBoy,Shaleem Music,Independent Release,Confident,Hip-Hop,7
With You,AP Dhillon,Hidden Gems,Romantic,Punjabi,8
Insane,AP Dhillon,Brown Munde,Hard,Punjabi Hip-Hop,8
Roll in Peace,Kodak Black,Project Baby 2,Rebellious,Hip-Hop,5
Rush,Ayra Starr,19 & Dangerous,Empowered,Afrobeats,8
Niagara Falls,Metro Boomin,HEROES & VILLAINS,Reflective,Hip-Hop,7
It Will Rain,Penn Masala,Voices,Melancholic,Acapella,6
Tere Bin,Penn Masala,Yuva,Romantic,Acapella,5
Main Hoon Na,Tere Naina,Vishal Dadlani,Emotional,Acapella,7
This Town,Penn Masala,Yuva,Reflective,Acapella,6
Controlla/Baarish,Penn Masala,Yuva,Romantic,Acapella,5
