Timestamp,Sender,Message
2024-08-10 10:12:45,Samika,Hey what's good?
2024-08-10 10:13:12,Friend,Hey not much! Just chilling you?
2024-08-10 10:13:45,Samika,Same here just vibing
2024-08-10 10:14:22,Friend,Any plans for today?
2024-08-10 10:15:03,Samika,Not really. might hit the gym later though
2024-08-10 10:15:35,Friend,That’s valid gotta stay fit.
2024-08-10 10:16:15,Samika,bro did you check out Tai's new album?
2024-08-10 10:16:50,Friend,not yet Is it good?
2024-08-10 10:17:25,Samika,It’s a vibe trust me you’ll love it
2024-08-10 10:18:00,Friend,You always know the good stuff. I'll listen later
2024-08-10 10:18:30,Samika,Ggs lmk what you think
2024-08-10 10:19:10,Friend,For sure! what’s new with you?
2024-08-10 10:19:45,Samika,Nothing much just grinding out this semester
2024-08-10 10:20:20,Friend,It’s brutal.
2024-08-10 10:20:55,Samika,Tell me about it. But we got this 
2024-08-10 10:21:30,Friend,Gotta keep pushing.
2024-08-10 10:22:05,Samika,100%. We’ll be fine. 
2024-08-10 10:22:40,Friend,Yeah it’ll pay off in the end.
2024-08-10 10:23:15,Samika,also wanna get coffee
2024-08-10 10:23:50,Friend,I’m down. What time?
2024-08-10 10:24:25,Samika,How about 3pm?
2024-08-10 10:25:00,Friend,3 works. See you then!
2024-08-10 10:25:35,Samika,Slay

2024-08-10 18:30:15,Samika,I’m here. Where you at?
2024-08-10 18:30:45,Friend,On my way! 5 mins
2024-08-10 18:31:10,Samika,I’ll grab a place
2024-08-10 18:35:00,Friend,Here! 
2024-08-10 18:36:45,Samika,Slay 
2024-08-10 18:39:05,Samika,bro did you finish the CS1502 assignment?
2024-08-10 18:39:40,Friend,Not yet almost done. You?
2024-08-10 18:40:15,Samika,trying to get it done by tonight
2024-08-10 18:40:50,Friend,facts wanna hit the library?
2024-08-10 18:41:25,Samika,im down
2024-08-10 18:44:20,Friend,ight see you there


